State,State_name,County,County_Name
01,ALABAMA,001,Autauga
01,ALABAMA,003,Baldwin
01,ALABAMA,005,Barbour
01,ALABAMA,007,Bibb
01,ALABAMA,009,Blount
01,ALABAMA,011,Bullock
01,ALABAMA,013,Butler
01,ALABAMA,015,Calhoun
01,ALABAMA,017,Chambers
01,ALABAMA,019,Cherokee
01,ALABAMA,021,Chilton
01,ALABAMA,023,Choctaw
01,ALABAMA,025,Clarke
01,ALABAMA,027,Clay
01,ALABAMA,029,Cleburne
01,ALABAMA,031,Coffee
01,ALABAMA,033,Colbert
01,ALABAMA,035,Conecuh
01,ALABAMA,037,Coosa
01,ALABAMA,039,Covington
01,ALABAMA,041,Crenshaw
01,ALABAMA,043,Cullman
01,ALABAMA,045,Dale
01,ALABAMA,047,Dallas
01,ALABAMA,049,DeKalb
01,ALABAMA,051,Elmore
01,ALABAMA,053,Escambia
01,ALABAMA,055,Etowah
01,ALABAMA,057,Fayette
01,ALABAMA,059,Franklin
01,ALABAMA,061,Geneva
01,ALABAMA,063,Greene
01,ALABAMA,065,Hale
01,ALABAMA,067,Henry
01,ALABAMA,069,Houston
01,ALABAMA,071,Jackson
01,ALABAMA,073,Jefferson
01,ALABAMA,075,Lamar
01,ALABAMA,077,Lauderdale
01,ALABAMA,079,Lawrence
01,ALABAMA,081,Lee
01,ALABAMA,083,Limestone
01,ALABAMA,085,Lowndes
01,ALABAMA,087,Macon
01,ALABAMA,089,Madison
01,ALABAMA,091,Marengo
01,ALABAMA,093,Marion
01,ALABAMA,095,Marshall
01,ALABAMA,097,Mobile
01,ALABAMA,099,Monroe
01,ALABAMA,101,Montgomery
01,ALABAMA,103,Morgan
01,ALABAMA,105,Perry
01,ALABAMA,107,Pickens
01,ALABAMA,109,Pike
01,ALABAMA,111,Randolph
01,ALABAMA,113,Russell
01,ALABAMA,115,St. Clair
01,ALABAMA,117,Shelby
01,ALABAMA,119,Sumter
01,ALABAMA,121,Talladega
01,ALABAMA,123,Tallapoosa
01,ALABAMA,125,Tuscaloosa
01,ALABAMA,127,Walker
01,ALABAMA,129,Washington
01,ALABAMA,131,Wilcox
01,ALABAMA,133,Winston
02,ALASKA,013,Aleutians East
02,ALASKA,016,Aleutians West
02,ALASKA,020,Anchorage
02,ALASKA,050,Bethel
02,ALASKA,060,Bristol Bay
02,ALASKA,068,Denali
02,ALASKA,070,Dillingham
02,ALASKA,090,Fairbanks North Star
02,ALASKA,100,Haines
02,ALASKA,105,Hoonah-Angoon
02,ALASKA,110,Juneau
02,ALASKA,122,Kenai Peninsula
02,ALASKA,130,Ketchikan Gateway
02,ALASKA,150,Kodiak Island
